<<<<<<< HEAD
person_per_household,Y2016_poverty,Y2017_poverty,Y2018_poverty,Y2019_poverty,City
1,13755.682224785109,14094.607275353304,14188.103841027289,14597.151315850977,Chicago
2,18617.50363983235,18979.802831819045,19236.918387422505,19762.836569338673,Chicago
3,23479.325054879595,23864.99838828478,24285.732933817715,24928.52182282637,Chicago
4,28341.146469926836,28750.19394475052,29334.547480212932,30094.207076314065,Chicago
5,33202.96788497408,33635.38950121626,34383.36202660814,35259.89232980176,Chicago
6,38064.78930002132,38520.585057682,39432.17657300336,40425.57758328946,Chicago
7,42926.610715068564,43405.780614147734,44480.99111939857,45591.26283677715,Chicago
8,47788.432130115805,48290.97617061348,49529.805665793785,50756.94809026484,Chicago
1,10813.56631003695,11080.000824048053,11153.50000032698,11475.058896547282,Dallas
2,14635.523476541086,14920.332784621925,15122.45551938897,15535.888385957927,Dallas
3,18457.480643045226,18760.664745195794,19091.41103845096,19596.717875368573,Dallas
4,22279.437809549367,22600.996705769663,23060.36655751295,23657.54736477922,Dallas
5,26101.394976053503,26441.328666343532,27029.322076574936,27718.376854189868,Dallas
6,29923.352142557644,30281.660626917404,30998.27759563693,31779.206343600512,Dallas
7,33745.30930906178,34121.99258749127,34967.233114698916,35840.03583301116,Dallas
8,37567.26647556592,37962.32454806514,38936.18863376091,39900.86532242181,Dallas
1,16050.430642149699,16445.895798158483,16554.98963429884,17032.275167412892,Los Angeles
2,21723.310121448147,22146.04873649202,22446.056785877994,23059.709614167492,Los Angeles
3,27396.189600746595,27846.20167482556,28337.123937457152,29087.14406092209,Los Angeles
4,33069.06908004504,33546.35461315909,34228.191089036314,35114.57850767669,Los Angeles
5,38741.94855934349,39246.50755149263,40119.25824061547,41142.012954431295,Los Angeles
6,44414.82803864194,44946.660489826165,46010.32539219463,47169.447401185906,Los Angeles
7,50087.707517940384,50646.81342815971,51901.392543773785,53196.8818479405,Los Angeles
8,55760.58699723884,56346.966366493245,57792.45969535294,59224.316294695105,Los Angeles
1,21865.570611194555,22404.31449201413,22552.933493619534,23203.14162564316,New York
2,29593.758694675384,30169.65732589631,30578.35958031116,31414.341464341538,New York
3,37321.946778156205,37935.00015977849,38603.78566700279,39625.54130303992,New York
4,45050.13486163704,45700.34299366066,46629.21175369441,47836.7411417383,New York
5,52778.32294511787,53465.685827542846,54654.63784038604,56047.94098043668,New York
6,60506.511028598696,61231.02866142502,62680.06392707768,64259.14081913506,New York
7,68234.69911207953,68996.3714953072,70705.4900137693,72470.34065783344,New York
8,75962.88719556035,76761.71432918937,78730.91610046093,80681.54049653182,New York
1,14283.322843702248,14635.248385305787,14732.33129333435,15157.069015959309,Seattle
2,19331.634061187495,19707.830329798173,19974.80832687672,20520.899684537384,Seattle
3,24379.945278672738,24780.41227429056,25217.28536041909,25884.730353115458,Seattle
4,29428.25649615799,29852.994218782947,30459.76239396146,31248.56102169353,Seattle
5,34476.567713643235,34925.576163275335,35702.23942750383,36612.39169027161,Seattle
6,39524.87893112848,39998.15810776772,40944.716461046206,41976.222358849685,Seattle
7,44573.19014861372,45070.7400522601,46187.19349458857,47340.053027427755,Seattle
8,49621.50136609897,50143.3219967525,51429.670528130955,52703.88369600583,Seattle
=======
person_per_household,City,Year,poverty_line
1,Los Angeles,2019,17032.275167412892
2,Los Angeles,2019,23059.709614167492
3,Los Angeles,2019,29087.14406092209
4,Los Angeles,2019,35114.57850767669
5,Los Angeles,2019,41142.012954431295
6,Los Angeles,2019,47169.447401185906
7,Los Angeles,2019,53196.8818479405
8,Los Angeles,2019,59224.316294695105
1,New York,2016,21865.570611194555
2,New York,2016,29593.758694675384
3,New York,2016,37321.946778156205
4,New York,2016,45050.13486163704
5,New York,2016,52778.32294511787
6,New York,2016,60506.511028598696
7,New York,2016,68234.69911207953
8,New York,2016,75962.88719556035
1,New York,2017,22404.31449201413
2,New York,2017,30169.65732589631
3,New York,2017,37935.00015977849
4,New York,2017,45700.34299366066
5,New York,2017,53465.685827542846
6,New York,2017,61231.02866142502
7,New York,2017,68996.3714953072
8,New York,2017,76761.71432918937
1,New York,2018,22552.933493619534
2,New York,2018,30578.35958031116
3,New York,2018,38603.78566700279
4,New York,2018,46629.21175369441
5,New York,2018,54654.63784038604
6,New York,2018,62680.06392707768
7,New York,2018,70705.4900137693
8,New York,2018,78730.91610046093
1,New York,2019,23203.14162564316
2,New York,2019,31414.341464341538
3,New York,2019,39625.54130303992
4,New York,2019,47836.7411417383
5,New York,2019,56047.94098043668
6,New York,2019,64259.14081913506
7,New York,2019,72470.34065783344
8,New York,2019,80681.54049653182
1,Seattle,2016,14283.322843702248
2,Seattle,2016,19331.634061187495
3,Seattle,2016,24379.945278672738
4,Seattle,2016,29428.25649615799
5,Seattle,2016,34476.567713643235
6,Seattle,2016,39524.87893112848
7,Seattle,2016,44573.19014861372
8,Seattle,2016,49621.50136609897
1,Seattle,2017,14635.248385305787
2,Seattle,2017,19707.830329798173
3,Seattle,2017,24780.41227429056
4,Seattle,2017,29852.994218782947
5,Seattle,2017,34925.576163275335
6,Seattle,2017,39998.15810776772
7,Seattle,2017,45070.7400522601
8,Seattle,2017,50143.3219967525
1,Seattle,2018,14732.33129333435
2,Seattle,2018,19974.80832687672
3,Seattle,2018,25217.28536041909
4,Seattle,2018,30459.76239396146
5,Seattle,2018,35702.23942750383
6,Seattle,2018,40944.716461046206
7,Seattle,2018,46187.19349458857
8,Seattle,2018,51429.670528130955
1,Seattle,2019,15157.069015959309
2,Seattle,2019,20520.899684537384
3,Seattle,2019,25884.730353115458
4,Seattle,2019,31248.56102169353
5,Seattle,2019,36612.39169027161
6,Seattle,2019,41976.222358849685
7,Seattle,2019,47340.053027427755
8,Seattle,2019,52703.88369600583
>>>>>>> d7c025cd78d4c0518e2c4536d52de41c04c90195
